establecimiento_nro_registro;establecimiento_denominacion;direccion;establecimiento_tipo;fabricante_tipo_codigo;fabricante_tipo_desc
EA00671;Intratest Sociedad Cooperativa Madrileña;;Establecimientos de audioprótesis;;
EA00672;Intratest Sociead Cooperativa Madrileña;Calle Princesa, Nº 16  28008, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00673;Maria Jesus De La Concha Gómez;Calle Magallanes, Nº 20  28015, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00675;Centro Auditivo Virgen Del Prado;Calle Jacinto Gonzalez, Nº 35  28600, Navalcarnero (Madrid);Establecimientos de audioprótesis;;
EA00676;Euro-Sone Centros Auditivos;Calle José Ortega Y Gasset, Nº 92  28006, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00677;Clínica Universidad De Navarra;Calle Del General López Pozas, Nº 10  28036, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00678;Grandvision Spain Grupo Óptico, S.A.U.;Carretera N-401 (Madrid-Toledo), Nº KM 9, Piso/Puerta C. COMERCIAL   28916, Leganés (Madrid);Establecimientos de audioprótesis;;
EA00679;Amplifón Ibérica, S.A.U.;Calle De Fuencarral, Nº 147  28010, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00680;Gaes, S.A.;Calle Horno Labradores, Nº 4  28032, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00681;Opticalia Carpio;Carretera De Canillas, Nº 134, Piso/Puerta 3 posterior (En  28043, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00682;Farmacia El Circulo;Avenida Constitución, Nº 90  28850, Torrejón De Ardoz (Madrid);Establecimientos de audioprótesis;;
EA00684;Audifon Iberica, S.L.;Calle De López De Hoyos, Nº 101  28002, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00685;Audio Selección, S.L.;Calle De La Hacienda De Pavones, Nº 6  28030, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00686;Amplifon Iberica, S.A.;Calle Antonio Lopez, Nº 25  28019, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00688;Federopticos Vissol Valdemoro;Calle San Vicente De Paul, Nº 22  28342, Valdemoro (Madrid);Establecimientos de audioprótesis;;
EA00689;Ortiz Opticos, S.L.;Calle Estafeta, Nº 22  28041, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00690;Econooptica;Calle Camarena, Nº 121  28047, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00691;Óptica Roma, S.L.;Calle De Alcalá, Nº 388  28017, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00692;Óptica Roma, S.L.;Paseo De Las Delicias, Nº 145  28045, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00693;Óptica Roma, S.L.;Calle De Ginzo De Limia, Nº 41  28029, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00694;Clínica Ibermedic;Calle Del Río Sella, Nº 10  28934, Móstoles (Madrid);Establecimientos de audioprótesis;;
EA00695;I.M.A.;Calle Del Siroco, Nº 32  28042, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00696;Grandvision Spain Grupo Óptico, S.A.U.;Calle De Margarita De Parma, Nº 1  28050, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00697;Amplifon Iberica, S.A.;Plaza Del Paraíso, Nº 5  28341, Valdemoro (Madrid);Establecimientos de audioprótesis;;
EA00698;Ayuda Auditiva Rein, S.L.;Calle De Hermosilla, Nº 121  28009, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00699;Widex Audifonos, S.A.;Calle Gran Vía, Nº 46, Piso/Puerta Local  28220, Majadahonda (Madrid);Establecimientos de audioprótesis;;
EA00700;Widex Audifonos, S.A.;Calle De Nuestra Señora Del Pilar, Nº 3  28100, Alcobendas (Madrid);Establecimientos de audioprótesis;;
EA00702;Amplifón Ibérica, S.A.U.;Calle De La Oca, Nº 79  28025, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00705;Ópticas Madrid Xxi, S.L.;Calle De Jerónimo Del Moral, Nº 12  28350, Ciempozuelos (Madrid);Establecimientos de audioprótesis;;
EA00706;General Óptica (Coslada);Avenida De La Constitución, Nº 32  28821, Coslada (Madrid);Establecimientos de audioprótesis;;
EA00707;López Y Cachón, S.L.;Calle San Vicente De Paúl, Nº 22  28342, Valdemoro (Madrid);Establecimientos de audioprótesis;;
EA00708;Farmacia Pilar Varela Gallego;Plaza De Puerta De Moros, Nº 3  28005, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00709;Amplifón Iberica, S.A.U.;Calle Del Doctor Fleming, Nº 22  28821, Coslada (Madrid);Establecimientos de audioprótesis;;
EA00710;Optica Estaire, S.L.;Calle José Del Hierro, Nº 50  28027, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00713;Amplifon Iberica, S.A.;Calle Del Mar Caspio, Nº 37  28033, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00714;Centro Óptico-Auditivo Vallehermoso;Calle De Vallehermoso, Nº 77  28015, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00716;Euro-Sone Centro Auditivo;Calle Iglesia, Nº 9  28220, Majadahonda (Madrid);Establecimientos de audioprótesis;;
EA00717;Cobazán Visión, S.L.;Calle Del Berrocal, Nº 11, Piso/Puerta Local 6  28021, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00720;Centro Auditivo San Agustin;Calle De Julián Berrendero, Nº 6  28750, San Agustín Del Guadalix (Madrid);Establecimientos de audioprótesis;;
EA00721;Sono-Optica;Calle De Velázquez, Nº 32, Piso/Puerta LOCAL  28001, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00722;Farmacia Mª Teresa Manresa Logroño;Calle Gran Avenida, Nº 29  28041, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00723;Centro Óptico Manzanares;Calle De Los Panaderos, Nº 8  28035, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00725;Optica Laia Iniciativa Audioptica;Calle Mayor, Nº 109  28971, Griñón (Madrid);Establecimientos de audioprótesis;;
EA00726;Juan Carlos Fraguas Izquierdo;Calle De Camarena, Nº 148  28047, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00727;Amplifón Ibérica, S.A.U.;Calle De Marcelo Usera, Nº 122  28026, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00730;Audio Centro Audifono Social, C.B.;Calle De Nuestra Señora De Valverde, Nº 18  28034, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00731;Granaudio, S.L.;Calle De La Virgen De Aránzazu, Nº 31  28034, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00732;Vitalsord;Calle De Velázquez, Nº 27, Piso/Puerta BAJO-IZDA.  28001, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00733;Visionarte;Calle Del Alcalde López Casero, Nº 6  28027, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00734;Ayudas Y Soluciones Masau, S.L.;Calle De La Isla De Tavira, Nº 26  28035, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00735;Audio Selección, S.L.;Calle Del Conde De Peñalver, Nº 2, Piso/Puerta Local  28006, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00736;C.B. Julian Ángel Muñoz Cruz (Opticentros);Calle Baleares, Nº 31  28937, Móstoles (Madrid);Establecimientos de audioprótesis;;
EA00737;Centro Óptico Auditivo Alonso Cano;Calle De Alonso Cano, Nº 95  28003, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00738;Farmacia Inmaculada Redondo;Sector Literatos, Nº 2  28760, Tres Cantos (Madrid);Establecimientos de audioprótesis;;
EA00739;Auris Centro Clínico Audiológico, S.L.;Calle De Juan Bravo, Nº 34, Piso/Puerta Local  28006, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00740;Óptica Emi, S.L.;Calle De Juan José Martínez Seco, Nº 40  28021, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00741;Altair Vision Sl;Calle De La Constitución, Nº 65  28100, Alcobendas (Madrid);Establecimientos de audioprótesis;;
EA00742;Vistactual, S.L.;Avenida Del Padre Piquer, Nº S/N  28024, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00743;Amplifon Iberica, S.A.;Calle De Illescas, Nº 61  28024, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00744;Amplifón Ibérica, S.A.U.;Avenida De La Constitución, Nº 34  28931, Móstoles (Madrid);Establecimientos de audioprótesis;;
EA00746;Centro Auditivo Fer-San, S.L.;Carretera Ajalvir, Nº km 5.6  28850, Torrejón De Ardoz (Madrid);Establecimientos de audioprótesis;;
EA00748;Óptica 21, S.L.;Calle De Juan De Olías, Nº 1  28020, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00750;Stuart Optics, S.L.;Avenida Amazonas Central, Nº s/n  28300, Aranjuez (Madrid);Establecimientos de audioprótesis;;
EA00751;Centro Óptico Urbina;Calle Diego De Urbina, Nº 2  28805, Alcalá De Henares (Madrid);Establecimientos de audioprótesis;;
EA00752;Centro De Óptica Avanzada;Calle De Galileo, Nº 108  28003, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00753;Central Óptica;Calle De La Chulapona, Nº 1  28041, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00754;Alain Afflelou España, S.A.;Calle Gran Vía, Nº 45  28013, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00755;Óptica Cottet, S.A.;Calle Del Conde De Peñalver, Nº 34, Piso/Puerta DER.  28006, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00756;Amplifón Ibérica, S.A.U.;Calle De Los Hermanos De Pablo, Nº 1  28027, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00757;Alain Afflelou Óptico;Calle De Orense, Nº 4  28020, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00758;Vg Ópticos;Calle Bolivia, Nº 9, Piso/Puerta POSTERIOR  28822, Coslada (Madrid);Establecimientos de audioprótesis;;
EA00760;Farmacia María Francisca Guadarrama García;Sector Islas, Nº 21  28760, Tres Cantos (Madrid);Establecimientos de audioprótesis;;
EA00761;Alain Afflelou Óptico, S.A.;Calle Del General Ricardos, Nº 104, Piso/Puerta Local  28019, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00762;Federopticos Latina 43;Calle De Berlanas, Nº 9, Piso/Puerta Local  28047, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00763;Óptica Galei;Avenida Del Dos De Mayo, Nº 7  28934, Móstoles (Madrid);Establecimientos de audioprótesis;;
EA00764;Óptica Roma;Calle De O'Donnell, Nº 11  28009, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00766;Soporte Óptico, S.L.;Calle Jacinto Benavente, Nº 6, Piso/Puerta Local 3  28691, Villanueva De La Cañada (Madrid);Establecimientos de audioprótesis;;
EA00767;Oticon España, S.A.;Carretera De Fuencarral, Nº 24  28108, Alcobendas (Madrid);Establecimientos de audioprótesis;;
EA00768;Orense Visión, S.L.;Calle De Orense, Nº 7  28020, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00769;Opta Ya Visión, S.L.;Calle De Bravo Murillo, Nº 318  28020, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00770;Mga Audiologia 2017, Sl;Avenida De Europa, Nº 29  28023, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00771;Dolly Ao15, S.L.;Calle De López De Hoyos, Nº 170  28002, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00772;Audicost, S.L.;Avenida De La Gran Vía De Hortaleza, Nº S/N  28043, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00773;Amplifon Iberica, S.A.;Plaza De Don Antonio De Andrés, Nº s/n  28032, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00774;Cecilia Martínez Ordás;Calle Jerónimo Sastre, Nº 1, Piso/Puerta Bajo-Pta. 4  28792, Miraflores De La Sierra (Madrid);Establecimientos de audioprótesis;;
EA00775;Cevimaga, S.L.;Travesia Eras, Nº 9  28670, Villaviciosa De Odón (Madrid);Establecimientos de audioprótesis;;
EA00776;Centro Auditivo De La Villa;Calle Nueva, Nº 24  28670, Villaviciosa De Odón (Madrid);Establecimientos de audioprótesis;;
EA00777;Amplifon Ibérica, S.A.U.;Plaza Cervantes, Nº 5  28801, Alcalá De Henares (Madrid);Establecimientos de audioprótesis;;
EA00778;Farmacia Teresa Bueno Dorado;Avenida De Celio Villalba, Nº 19  28033, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00779;Audioplan;Avenida De La Albufera, Nº 75, Piso/Puerta IZQ.  28038, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00780;Opticalia Laia Humanes;Calle Madrid, Nº 58  28970, Humanes De Madrid (Madrid);Establecimientos de audioprótesis;;
EA00781;Centro Auditivo Sonoclinic;Calle Honduras, Nº 2  28822, Coslada (Madrid);Establecimientos de audioprótesis;;
EA00782;General Óptica, S.A.;Avenida Del General Perón, Nº 26  28020, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00783;Farmacia Alvaro Sendino Pérez;Calle Isabel Ii, Nº 9, Piso/Puerta Local  28982, Parla (Madrid);Establecimientos de audioprótesis;;
EA00784;María Sánchez Rodríguez;Carretera De Ávila (N-403), Nº 2  28680, San Martín De Valdeiglesias (Madrid);Establecimientos de audioprótesis;;
EA00785;Óptica 21, S.L.;Carretera Ajalvir, Nº 5,6  28850, Torrejón De Ardoz (Madrid);Establecimientos de audioprótesis;;
EA00786;Rebeca Fernández Román;Calle Pedroches, Nº 52  28915, Leganés (Madrid);Establecimientos de audioprótesis;;
EA00787;Glas Vaguada, S.L.;Avenida De Monforte De Lemos, Nº 36  28029, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00788;General Óptica, S.A.;Calle De Bravo Murillo, Nº 125  28020, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00790;Audicost, S.L.;Avenida De Monforte De Lemos, Nº 103  28029, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00791;Sonia Reina Pelaez;Calle Barcelona, Nº 37  28936, Móstoles (Madrid);Establecimientos de audioprótesis;;
EA00792;Amplifón Ibérica, S.A.U.;Calle Nueva, Nº 1  28921, Alcorcón (Madrid);Establecimientos de audioprótesis;;
EA00793;Óptica San Gabino;Plaza Fuente Honda, Nº 7  28911, Leganés (Madrid);Establecimientos de audioprótesis;;
EA00795;Audio Sanus, S.L.;Avenida De Guadalajara, Nº 2  28032, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00796;Ag Soluciones Auditivas, S.L.;Calle Badajoz, Nº 31  28931, Móstoles (Madrid);Establecimientos de audioprótesis;;
EA00797;Óptica San Gabino (Opticalia);Calle Gran Vía, Nº 30  28013, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00798;General Óptica, S.A.;Plaza Del Conde De Casal, Nº 2  28007, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00799;Innovacare S.L.;Calle Del General Pardiñas, Nº 97, Piso/Puerta Local Pta. Baja  28006, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00800;General Óptica, S.A.;Calle De Clara Del Rey, Nº 53  28002, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00801;Mejorfarma;Calle Valentín Juara Bellot, Nº 4, Piso/Puerta Local B-3bis  28805, Alcalá De Henares (Madrid);Establecimientos de audioprótesis;;
EA00802;Soloptical;Calle Valentín Juara Bellot, Nº 4, Piso/Puerta Local 43  28805, Alcalá De Henares (Madrid);Establecimientos de audioprótesis;;
EA00803;Soloptical;Calle De La Calderería, Nº 1, Piso/Puerta Local 43  28054, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00804;Amplicost, S.L.;Calle De Meléndez Valdés, Nº 67  28015, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00806;Opticalia Real Villa;Calle Del Real, Nº 13  28600, Navalcarnero (Madrid);Establecimientos de audioprótesis;;
EA00807;Audicost;Avenida De Pío Xii, Nº 2  28016, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00808;Audicost, S.L.;Calle Del Camino De Los Vinateros, Nº s/n  28030, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00809;Audicost Fuenlabrada;Calle De Hungría, Nº s/n, Piso/Puerta Local 46  28943, Fuenlabrada (Madrid);Establecimientos de audioprótesis;;
EA00811;Sara Sabate Poncela;Calle De Clara Janés, Nº 4, Piso/Puerta Local 3  28919, Leganés (Madrid);Establecimientos de audioprótesis;;
EA00812;Amplifon Iberica, S.A.;Calle Real, Nº 35  28231, Rozas De Madrid, Las (Madrid);Establecimientos de audioprótesis;;
EA00813;Centro Óptico Y Optom. Viravisión, S.L.;Bulevar De Indalecio Prieto, Nº 45  28032, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00814;Cottet Imcot, S.A.;Calle De Narváez, Nº 60  28009, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00815;Audiocentro A.S, C.B.;Calle De Pedro Laborde, Nº 64  28018, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00816;Isonial Óptica, S.L.;Avenida De Los Voluntarios, Nº 17  28260, Galapagar (Madrid);Establecimientos de audioprótesis;;
EA00817;General Óptica, S.A.;Calle Del Príncipe De Vergara, Nº 261  28016, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00818;Farmacia  Rocío Serrano García;Calle De Marcelo Usera, Nº 36  28026, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00819;Farmacia Jesús Félix Serrano Matoses;Calle Camino De Humanes, Nº 27  28938, Móstoles (Madrid);Establecimientos de audioprótesis;;
EA00820;Amplifon Iberica, S.A.U.;Calle Madrid, Nº 65  28901, Getafe (Madrid);Establecimientos de audioprótesis;;
EA00821;Japón Visión, S.L.U.;Calle Del Japón, Nº s/n  28923, Alcorcón (Madrid);Establecimientos de audioprótesis;;
EA00822;Amplifon Iberica, S.A.U;Calle Del Puerto Del Suebe, Nº 2  28038, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00823;Siema Blink, S.L.;Calle Vía Carpetana, Nº 201  28047, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00824;Dolly Ao15, S.L.;Paseo De Las Acacias, Nº 13  28005, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00825;As Ibérica Soluciones Auditivas, S.L;Calle Valle Del Roncal, Nº 12, Piso/Puerta Bajo - 9  28232, Rozas De Madrid, Las (Madrid);Establecimientos de audioprótesis;;
EA00826;Audio Seleccion, S.L.;Avenida Del Ejército, Nº 5, Piso/Puerta 2  28500, Arganda Del Rey (Madrid);Establecimientos de audioprótesis;;
EA00827;General Óptica, S.A.;Calle Madrid, Nº 50  28901, Getafe (Madrid);Establecimientos de audioprótesis;;
EA00828;Audibravo, S.L.;Calle De Juan Bravo, Nº 59  28006, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00829;Club Visión Audiología;Paseo De Yeserías, Nº 9  28005, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00830;General Óptica, S.A.;Calle De Alberto Aguilera, Nº 50  28015, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00831;Amplifon Iberica, S.A.U.;Avenida Del Ejército, Nº 22, Piso/Puerta Local 19  28500, Arganda Del Rey (Madrid);Establecimientos de audioprótesis;;
EA00832;General Óptica, S.A.;Calle Libreros, Nº 6  28801, Alcalá De Henares (Madrid);Establecimientos de audioprótesis;;
EA00833;General Óptica, S.A.;Calle De Santa Engracia, Nº 71  28010, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00834;General Óptica, S.A.;Paseo De Las Delicias, Nº 32  28045, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00835;Innovaudio Servicios Auditivos;Carretera Vía De Las Dos Castillas, Nº 17  28223, Pozuelo De Alarcón (Madrid);Establecimientos de audioprótesis;;
EA00836;Rv Omega Tres Cantos, S.L.;Sector Pueblos, Nº 2, Piso/Puerta Local D2  28760, Tres Cantos (Madrid);Establecimientos de audioprótesis;;
EA00838;Costco Wholesale Spain, S.L.U.;Calle   28906, Getafe (Madrid);Establecimientos de audioprótesis;;
EA00839;Miguel Ángel Sánchez Alvárez;Avenida De Viñuelas, Nº 20  28760, Tres Cantos (Madrid);Establecimientos de audioprótesis;;
EA00840;Fiser Ópticos, S.L.;Avenida De La Hispanidad, Nº 2  28945, Fuenlabrada (Madrid);Establecimientos de audioprótesis;;
EA00841;Audiology Group Leganés, S.L.;Avenida Fuenlabrada, Nº 43  28912, Leganés (Madrid);Establecimientos de audioprótesis;;
EA00842;Rv Audición Clínica;Calle De José Del Hierro, Nº 62  28027, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00843;Centro Óptico Abascal, S.L.;Paseo De Las Moreras, Nº 13  28021, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00844;Óptica García Moreno, S.L.;Calle De Extremadura, Nº 18  28944, Fuenlabrada (Madrid);Establecimientos de audioprótesis;;
EA00845;General Optica, S.A.;Calle De Alcalá, Nº 294  28027, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00846;Soloptical La Gavia;Calle De Adolfo Bioy Casares, Nº 2  28051, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00847;Amplifón Ibérica, S.A.U.;Calle Gran Vía, Nº 45  28220, Majadahonda (Madrid);Establecimientos de audioprótesis;;
EA00848;General Óptica;Avenida De Moratalaz, Nº 115  28030, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00849;Look Visión, S.L.L.;Calle De Los Ángeles, Nº 5, Piso/Puerta post'- Local C  28944, Fuenlabrada (Madrid);Establecimientos de audioprótesis;;
EA00850;Optifon, C.B.;Urbanizacion Nuevo Versalles, Nº 237  28942, Fuenlabrada (Madrid);Establecimientos de audioprótesis;;
EA00851;Centro Óptico Abascal, S.L.;Calle De Los Ángeles, Nº 12, Piso/Puerta Local 1C  28500, Arganda Del Rey (Madrid);Establecimientos de audioprótesis;;
EA00852;Majoan Vision, S.L.;Calle Madrid, Nº 96, Piso/Puerta Local 3  28902, Getafe (Madrid);Establecimientos de audioprótesis;;
EA00853;Soloptical Eboli;Calle De Pablo Picasso, Piso/Puerta L-125  28320, Pinto (Madrid);Establecimientos de audioprótesis;;
EA00854;Solbulevar, S.L.;Calle De Aracne, Nº s/n, Piso/Puerta Local 06  28022, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00855;Óptica San Gabino, S.L.;Calle De Monleón, Nº s/n  28038, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00856;Quality Audio, S.L.;Calle De Ibiza, Nº 66  28009, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00857;Ulloa Óptico;Calle Del Marqués De Urquijo, Nº 5  28008, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00858;Óptica Mega Visión, S.L.;Calle Iglesia, Nº 6  28140, Fuente El Saz De Jarama (Madrid);Establecimientos de audioprótesis;;
EA00859;Óptica Maddox, Audiología José M. Vela;Paseo De Las Provincias, Nº 3, Piso/Puerta 8  28523, Rivas-Vaciamadrid (Madrid);Establecimientos de audioprótesis;;
EA00861;Carmen Alzola García;Calle De San Patricio, Nº 4  28019, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00862;Audio Seleccion, S.L.;Calle De Miraflores, Nº 2  28100, Alcobendas (Madrid);Establecimientos de audioprótesis;;
EA00863;Audio Seleccion, S.L.;Calle De San Antonio, Nº 13, Piso/Puerta Bajo 1  28931, Móstoles (Madrid);Establecimientos de audioprótesis;;
EA00865;Amplifón Ibérica, S.A.U.;Avenida De Moratalaz, Nº 123  28030, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00866;Opticalia;Avenida Del Mar Mediterráneo, Nº 3  28341, Valdemoro (Madrid);Establecimientos de audioprótesis;;
EA00867;Oimos. Gabinete Auditivo, S.L.;Calle De La Laguna, Nº 46  28025, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00868;Audio-Factory;Plaza Del Conde Del Valle De Súchil, Nº 12  28015, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00869;Amplifón Ibérica, S.A.U.;Plaza De Felipe Álvarez Gadea, Nº 4  28100, Alcobendas (Madrid);Establecimientos de audioprótesis;;
EA00870;Luis Felipe Cifuentes Cifuentes;Calle De San Telesforo, Nº 21, Piso/Puerta Local  28017, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00871;Centro Auditivo Europeo, S.L.;Avenida De La Reina Victoria, Nº 15  28003, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00872;Amplifón Ibérica, S.A.U.;Calle De López De Hoyos, Nº 109  28002, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00873;Centro Auditivo Logopédico Navamuel, S.L.U.;Calle De Guabairo, Nº 10  28047, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00874;Centro Auditivo Mª Isabel López Gil;Calle De Elizondo, Nº 9  28041, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00875;Óptica San Gabino, S.L.;Calle Pinto, Nº 85  28982, Parla (Madrid);Establecimientos de audioprótesis;;
EA00876;Centro Óptico Moratalaz;Calle Del Pico De Los Artilleros, Nº 154  28030, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00877;Amplifón Ibérica, S.A.U.;Paseo De Extremadura, Nº 129  28011, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00878;Audiologia Corrales Fernandez, S.L.;Calle Del Doctor Esquerdo, Nº 118  28007, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00879;General Optica;Calle Gran Vía, Nº 35  28220, Majadahonda (Madrid);Establecimientos de audioprótesis;;
EA00880;Centro Auditivo Sotone, S.L.;Calle De San Cipriano, Nº 37  28032, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00881;Camino Optica,S.L.;Calle De La Parra, Nº 1  28025, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00882;Óptica G.O. Sanco, S.L.;Calle De José Alix Alix, Nº 16, Piso/Puerta 3  28830, San Fernando De Henares (Madrid);Establecimientos de audioprótesis;;
EA00883;Visiorama, S.L.;Avenida De La Alcarria, Nº 12  28806, Alcalá De Henares (Madrid);Establecimientos de audioprótesis;;
EA00884;Grandvision Spain Grupo Optico S.A.U.;Avenida De Monforte De Lemos, Nº 36  28029, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00885;Yolanda Piñero Martínez;Calle Poitiers, Nº 9, Piso/Puerta Local 7 - Post.  28821, Coslada (Madrid);Establecimientos de audioprótesis;;
EA00886;Visiorama, S.L.;Avenida Juan De Austria, Nº 3  28805, Alcalá De Henares (Madrid);Establecimientos de audioprótesis;;
EA00889;Vallehermoso Audiología;Calle Del General Ampudia, Nº 4  28003, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00890;Ulloa Optico, S.L.;Calle De Emilio Gastesi Fernández, Nº 2  28027, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00891;General Óptica, S.A.;Calle De Alberto Aguilera, Nº 62  28015, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00894;Vistalegre Sofisan, S.L.;Calle De Guabairo, Nº 10, Piso/Puerta Óptica  28047, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00895;Altair Vision Sl;Carretera De Irún, Nº km 14,5  28108, Alcobendas (Madrid);Establecimientos de audioprótesis;;
EA00896;Farmacia Mario Cantos Aparicio;Calle De Chucuri, Nº 6  28033, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00897;Audio Seleccion, S.L.;Carretera De Andalucía, Nº 27  28300, Aranjuez (Madrid);Establecimientos de audioprótesis;;
EA00898;Centro Auditivo Profesional, S.L.;Calle De Alcalá, Nº 319  28027, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00899;Audio Seleccion, S.L.;Calle Mayor, Nº 76  28922, Alcorcón (Madrid);Establecimientos de audioprótesis;;
